"","RR","lowCI","highCI","mod","cause","exposures","age_group"
"1",1.0953966310998,1.07665540239045,1.11446408642981,"Differences in differences","TOT","beta radiation + PM[2.5]","18+"
"2",1.12134793042424,1.08808985694327,1.15562255547454,"Differences in differences","CVD","beta radiation + PM[2.5]","18+"
"3",1.05754009633237,0.989351936694582,1.1304279234417,"Differences in differences","MI","beta radiation + PM[2.5]","18+"
"4",1.10783724780821,1.0411576034689,1.1787873070726,"Differences in differences","stroke","beta radiation + PM[2.5]","18+"
"5",1.07270010368392,1.03607311636939,1.11062191872687,"Differences in differences","TOT","beta radiation + PM[2.5]","18-65"
"6",1.1298093774769,1.04985720154524,1.21585033427018,"Differences in differences","CVD","beta radiation + PM[2.5]","18-65"
"7",1.11506672211319,0.950388549557184,1.30827943512533,"Differences in differences","MI","beta radiation + PM[2.5]","18-65"
"8",0.952186846540004,0.773936959341452,1.17149049387082,"Differences in differences","stroke","beta radiation + PM[2.5]","18-65"
"9",1.08846823859668,1.06281579102533,1.11473984150234,"Differences in differences","TOT","beta radiation + PM[2.5]","65-85"
"10",1.08417252700917,1.03618371497427,1.1343838465466,"Differences in differences","CVD","beta radiation + PM[2.5]","65-85"
"11",1.07739646685539,0.980364659475042,1.18403201867155,"Differences in differences","MI","beta radiation + PM[2.5]","65-85"
"12",1.07158528061395,0.974096597671076,1.17883074057941,"Differences in differences","stroke","beta radiation + PM[2.5]","65-85"
"13",1.1073938334985,1.07844715364987,1.13711747332281,"Differences in differences","TOT","beta radiation + PM[2.5]","85+"
"14",1.13936615684174,1.09027571228604,1.19066693381109,"Differences in differences","CVD","beta radiation + PM[2.5]","85+"
"15",1.00501637730088,0.902366220414555,1.11934367199489,"Differences in differences","MI","beta radiation + PM[2.5]","85+"
"16",1.15708118388942,1.06036579585769,1.26261792990787,"Differences in differences","stroke","beta radiation + PM[2.5]","85+"
"17",1.07149022501314,1.05375892409459,1.08951988547587,"Mixed-effect","TOT","beta radiation + PM[2.5]","18+"
"18",1.09655842509069,1.06577876123714,1.12822700486318,"Mixed-effect","CVD","beta radiation + PM[2.5]","18+"
"19",1.07612658269628,1.01671116370337,1.13901416973469,"Mixed-effect","MI","beta radiation + PM[2.5]","18+"
"20",1.0948325048087,1.03710154473389,1.15577709788606,"Mixed-effect","stroke","beta radiation + PM[2.5]","18+"
"21",1.05380133389932,1.02195328411141,1.08664189312095,"Mixed-effect","TOT","beta radiation + PM[2.5]","18-65"
"22",1.10623179177829,1.04478525566204,1.17129215837331,"Mixed-effect","CVD","beta radiation + PM[2.5]","18-65"
"23",1.07794130797941,0.965325124510284,1.20369545342335,"Mixed-effect","MI","beta radiation + PM[2.5]","18-65"
"24",0.944934162218987,0.826830384922838,1.07990778666392,"Mixed-effect","stroke","beta radiation + PM[2.5]","18-65"
"25",1.06195524881428,1.03816766626766,1.08628787731233,"Mixed-effect","TOT","beta radiation + PM[2.5]","65-85"
"26",1.06489503134198,1.02302191611101,1.10848204707844,"Mixed-effect","CVD","beta radiation + PM[2.5]","65-85"
"27",1.10788590980642,1.02926344854425,1.19251411374182,"Mixed-effect","MI","beta radiation + PM[2.5]","65-85"
"28",1.08620464951273,1.00817559597894,1.17027286251405,"Mixed-effect","stroke","beta radiation + PM[2.5]","65-85"
"29",1.07945754263893,1.05223427496021,1.1073851271421,"Mixed-effect","TOT","beta radiation + PM[2.5]","85+"
"30",1.10931861798826,1.06482597367133,1.15567034110985,"Mixed-effect","CVD","beta radiation + PM[2.5]","85+"
"31",1.06819579573505,0.979191376738167,1.16529034582292,"Mixed-effect","MI","beta radiation + PM[2.5]","85+"
"32",1.14074323189065,1.05858241255085,1.22928088137097,"Mixed-effect","stroke","beta radiation + PM[2.5]","85+"
